scenario,n_per_arm,true_timely_lift,true_accuracy_lift,control_timely,treatment_timely,timely_lift,timely_relative_lift,timely_ci_low,timely_ci_high,timely_p,control_accuracy,treatment_accuracy,accuracy_lift,accuracy_lower,accuracy_ni_p,primary_reject,primary_benefit,accuracy_pass,advance,decision
no_effect,7000,0.0,0.0,0.5944285714285714,0.5898571428571429,-0.00457142857142856,-0.007690459024272992,-0.020852262826699792,0.011709405683842673,0.5820969714038555,0.8025714285714286,0.7977142857142857,-0.004857142857142893,-0.015975198140979883,0.01253571425263293,False,False,True,False,DO_NOT_ADVANCE
target_effect,7000,0.030000000000000027,0.0,0.6018571428571429,0.6224285714285714,0.020571428571428574,0.03417991929741277,0.00443231875367258,0.03671053838918457,0.012501022335376038,0.8007142857142857,0.8,-0.0007142857142856673,-0.011828067418021379,0.002156521818100742,True,True,True,True,ADVANCE_TO_VALIDATION
small_effect,7000,0.010000000000000009,0.0,0.5942857142857143,0.6238571428571429,0.029571428571428582,0.0497596153846154,0.013413063318292066,0.0457297938245651,0.000336712177301481,0.7987142857142857,0.8111428571428572,0.012428571428571455,0.0014127895889176068,6.421543399328811e-07,True,True,True,True,ADVANCE_TO_VALIDATION
primary_harm,7000,-0.030000000000000027,0.0,0.5991428571428571,0.565,-0.03414285714285714,-0.0569861707200763,-0.05047311115244772,-0.017812603133266557,4.21467818712692e-05,0.7994285714285714,0.8001428571428572,0.0007142857142857784,-0.010411416047378575,0.0010976450951910989,True,False,True,False,DO_NOT_ADVANCE
accuracy_harm,7000,0.030000000000000027,-0.040000000000000036,0.6001428571428571,0.6257142857142857,0.02557142857142858,0.04260890264222806,0.00944029514660611,0.041702561996251046,0.0018969602317373629,0.7997142857142857,0.758,-0.041714285714285704,-0.05323845043945154,0.999030101246878,True,True,False,False,DO_NOT_ADVANCE
accuracy_boundary,7000,0.030000000000000027,-0.020000000000000018,0.6158571428571429,0.6314285714285715,0.01557142857142857,0.025284156808165155,-0.0004767607240118363,0.031619617866868975,0.057237645322152225,0.8107142857142857,0.7808571428571428,-0.029857142857142915,-0.041057616036437046,0.9261324289196066,False,False,False,False,DO_NOT_ADVANCE
