scenario,n_per_arm,replications,primary_reject_rate,primary_reject_mc_low,primary_reject_mc_high,primary_benefit_rate,primary_benefit_mc_low,primary_benefit_mc_high,accuracy_pass_rate,accuracy_pass_mc_low,accuracy_pass_mc_high,advance_rate,advance_mc_low,advance_mc_high,primary_ci_coverage
no_effect,7000,5000,0.0498,0.04410847786419272,0.05618276096713672,0.0244,0.02047464350657034,0.029055594583568007,0.907,0.8986343437895967,0.9147407468271269,0.0244,0.02047464350657034,0.029055594583568007,0.9502
target_effect,7000,5000,0.9526,0.946354660519909,0.9581504156794253,0.9526,0.946354660519909,0.9581504156794253,0.9084,0.9000878237859453,0.9160851172653321,0.8834,0.8742082846309611,0.892003041517569,0.951
small_effect,7000,5000,0.2392,0.2275786657472823,0.25122176758725956,0.2386,0.22698929657148956,0.25061205800538633,0.9022,0.8936551120964286,0.9101273484589675,0.2378,0.22620352105369876,0.24979906184628928,0.9458
primary_harm,7000,5000,0.949,0.9425499907560099,0.9547606128973288,0.0,0.0,0.0007677019450571244,0.9146,0.9065316087728363,0.9220318127743223,0.0,0.0,0.0007677019450571244,0.9496
accuracy_harm,7000,5000,0.9564,0.9503808291024459,0.961718412562106,0.9564,0.9503808291024459,0.961718412562106,0.0,0.0,0.0007677019450571244,0.0,0.0,0.0007677019450571244,0.9552
accuracy_boundary,7000,5000,0.9518,0.9455084082601064,0.95739789626234,0.9518,0.9455084082601064,0.95739789626234,0.0468,0.04128549558366106,0.053010349459338725,0.0468,0.04128549558366106,0.053010349459338725,0.9482
